Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4852.0,21.62,2020-12-04
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4114.0,21.48,2020-12-03
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5077.0,21.3822,2020-12-02
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5279.0,21.145,2020-12-01
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5050.0,20.74,2020-11-30
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1883.0,21.26,2020-11-27
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3931.0,21.05,2020-11-25
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2318.0,21.06,2020-11-24
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2426.0,20.84,2020-11-23
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,13120.0,20.77,2020-11-20
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,10355.0,20.75,2020-11-19
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,11657.0,20.8195,2020-11-18
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3091.0,20.78,2020-11-17
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5956.0,20.68,2020-11-16
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4094.0,20.29,2020-11-13
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,986.0,20.28,2020-11-12
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,4105.0,20.56,2020-11-11
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2704.0,20.33,2020-11-10
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,2966.0,20.1062,2020-11-09
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3338.0,19.58,2020-11-06
Queensland Coal Mine Management Pty. Ltd.,Australia,Coal,Jellinbah East open pit coal mine,-23.39,148.95,4000,NHPEF,Public,500.0,1.04,2021-04-01
